,genome_id,source,organism,genus,species,strain,closest_placement_reference,Bin Id,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,contig count,Genome size (bp),ctg_N50,ctg_L50,ctg_N90,ctg_L90,ctg_max,gc_avg,gc_std,CDS,Completeness (%),Contamination (%),Relative abundance (%),5S-full,5S-partial,16S-full,16S-partial,23S-full,23S-partial,Circular,Taxa (GTDB),Genome,Phylum,# of Contigs,Length (bp),CheckM Completeness %,CheckM Contamination %,ncbi_mapping,Level,WGS,BioSample,Isolate,Taxonomy,original_genome_id,%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,classification,viewable,sample,name,sequences,location,basepairs,created_on,coordinates,attributes,material,biome,library,country,sequencing_method,sequence_type,feature,GC,GC std,Genome size,# ambiguous bases,# scaffolds,# contigs,Longest scaffold,Longest contig,N50 (scaffolds),N50 (contigs),Mean scaffold length,Mean contig length,Coding density,Translation table,# predicted genes,Chrs
22,bin3c.140,custom,,,,,,bin3c.140.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,1.0,260.0,2.0,0.0,0.0,0.0,99.33,0.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,bin3c.141,custom,,,,,,bin3c.141.contigs,k__Bacteria (UID2982),88.0,230.0,148.0,12.0,214.0,4.0,0.0,0.0,0.0,92.57,1.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,bin3c.142,custom,,,,,,bin3c.142.contigs,o__Clostridiales (UID1226),155.0,278.0,158.0,6.0,269.0,3.0,0.0,0.0,0.0,97.55,1.9,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,bin3c.143,custom,,,,,,bin3c.143.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,11.0,251.0,1.0,0.0,0.0,0.0,94.91,0.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,bin3c.145,custom,,,,,,bin3c.145.contigs,f__Bacillaceae (UID829),128.0,561.0,183.0,8.0,542.0,11.0,0.0,0.0,0.0,97.36,2.78,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,bin3c.146,custom,,,,,,bin3c.146.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,2.0,217.0,4.0,0.0,0.0,0.0,98.79,2.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,bin3c.148,custom,,,,,,bin3c.148.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,5.0,214.0,4.0,0.0,0.0,0.0,96.77,2.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,bin3c.151,custom,,,,,,bin3c.151.contigs,f__Lachnospiraceae (UID1256),33.0,333.0,171.0,3.0,330.0,0.0,0.0,0.0,0.0,98.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,bin3c.152,custom,,,,,,bin3c.152.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,5.0,217.0,1.0,0.0,0.0,0.0,96.37,0.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,bin3c.153,custom,,,,,,bin3c.153.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,2.0,220.0,1.0,0.0,0.0,0.0,98.39,0.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,bin3c.155,custom,,,,,,bin3c.155.contigs,o__Bacteroidales (UID2657),160.0,492.0,269.0,9.0,469.0,14.0,0.0,0.0,0.0,97.37,3.76,85.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,bin3c.156,custom,,,,,,bin3c.156.contigs,p__Bacteroidetes (UID2605),350.0,314.0,208.0,2.0,312.0,0.0,0.0,0.0,0.0,99.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,bin3c.157,custom,,,,,,bin3c.157.contigs,o__Bacteroidales (UID2617),213.0,406.0,265.0,3.0,397.0,6.0,0.0,0.0,0.0,99.31,1.89,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,bin3c.158,custom,,,,,,bin3c.158.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,10.0,251.0,2.0,0.0,0.0,0.0,95.5,0.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,bin3c.159,custom,,,,,,bin3c.159.contigs,p__Bacteroidetes (UID2605),350.0,316.0,210.0,6.0,306.0,3.0,1.0,0.0,0.0,97.38,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,bin3c.163,custom,,,,,,bin3c.163.contigs,o__Clostridiales (UID1226),155.0,278.0,158.0,4.0,274.0,0.0,0.0,0.0,0.0,97.47,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,bin3c.164,custom,,,,,,bin3c.164.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,18.0,243.0,2.0,0.0,0.0,0.0,90.27,1.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,bin3c.167,custom,,,,,,bin3c.167.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,4.0,214.0,5.0,0.0,0.0,0.0,97.18,2.96,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,bin3c.169,custom,,,,,,bin3c.169.contigs,f__Lachnospiraceae (UID1256),33.0,333.0,171.0,4.0,318.0,11.0,0.0,0.0,0.0,98.51,4.63,36.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,bin3c.17,custom,,,,,,bin3c.17.contigs,o__Bacteroidales (UID2654),163.0,486.0,266.0,2.0,483.0,1.0,0.0,0.0,0.0,99.25,0.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,bin3c.170,custom,,,,,,bin3c.170.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,13.0,247.0,2.0,1.0,0.0,0.0,94.18,2.68,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,bin3c.172,custom,,,,,,bin3c.172.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,23.0,240.0,0.0,0.0,0.0,0.0,94.57,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,bin3c.173,custom,,,,,,bin3c.173.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,1.0,257.0,5.0,0.0,0.0,0.0,99.33,2.68,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,bin3c.176,custom,,,,,,bin3c.176.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,1.0,260.0,2.0,0.0,0.0,0.0,99.33,1.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,bin3c.17602,custom,,,,,,bin3c.17602.contigs,k__Bacteria (UID2329),174.0,149.0,89.0,8.0,137.0,4.0,0.0,0.0,0.0,93.15,3.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,bin3c.179,custom,,,,,,bin3c.179.contigs,o__Clostridiales (UID1226),155.0,278.0,158.0,1.0,271.0,6.0,0.0,0.0,0.0,99.37,2.53,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,bin3c.180,custom,,,,,,bin3c.180.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,4.0,257.0,2.0,0.0,0.0,0.0,97.76,1.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,bin3c.181,custom,,,,,,bin3c.181.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,10.0,250.0,3.0,0.0,0.0,0.0,96.08,1.34,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,bin3c.182,custom,,,,,,bin3c.182.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,1.0,249.0,13.0,0.0,0.0,0.0,99.33,4.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,bin3c.183,custom,,,,,,bin3c.183.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,6.0,253.0,4.0,0.0,0.0,0.0,96.64,2.68,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,bin3c.18331,custom,,,,,,bin3c.18331.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,15.0,208.0,0.0,0.0,0.0,0.0,91.73,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,bin3c.184,custom,,,,,,bin3c.184.contigs,k__Bacteria (UID2982),88.0,229.0,147.0,12.0,215.0,2.0,0.0,0.0,0.0,92.52,1.36,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,bin3c.185,custom,,,,,,bin3c.185.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,5.0,255.0,3.0,0.0,0.0,0.0,97.87,2.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,bin3c.187,custom,,,,,,bin3c.187.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,2.0,256.0,5.0,0.0,0.0,0.0,98.99,2.46,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,bin3c.188,custom,,,,,,bin3c.188.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,8.0,248.0,7.0,0.0,0.0,0.0,95.86,3.36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,bin3c.189,custom,,,,,,bin3c.189.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,2.0,251.0,10.0,0.0,0.0,0.0,98.66,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,bin3c.191,custom,,,,,,bin3c.191.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,2.0,247.0,14.0,0.0,0.0,0.0,99.11,2.24,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,bin3c.193,custom,,,,,,bin3c.193.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,4.0,258.0,1.0,0.0,0.0,0.0,97.32,0.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,bin3c.194,custom,,,,,,bin3c.194.contigs,o__Clostridiales (UID1212),172.0,257.0,149.0,14.0,243.0,0.0,0.0,0.0,0.0,95.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,bin3c.196,custom,,,,,,bin3c.196.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,5.0,256.0,2.0,0.0,0.0,0.0,97.76,1.34,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,bin3c.197,custom,,,,,,bin3c.197.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,8.0,254.0,1.0,0.0,0.0,0.0,95.95,0.22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,bin3c.199,custom,,,,,,bin3c.199.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,3.0,259.0,1.0,0.0,0.0,0.0,98.49,0.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,bin3c.201,custom,,,,,,bin3c.201.contigs,o__Clostridiales (UID1120),304.0,247.0,141.0,13.0,231.0,3.0,0.0,0.0,0.0,93.12,0.83,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,bin3c.20126,custom,,,,,,bin3c.20126.contigs,c__Clostridia (UID1118),387.0,223.0,124.0,13.0,209.0,1.0,0.0,0.0,0.0,92.74,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,bin3c.20285,custom,,,,,,bin3c.20285.contigs,k__Bacteria (UID2495),2993.0,143.0,89.0,5.0,138.0,0.0,0.0,0.0,0.0,95.44,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,bin3c.204,custom,,,,,,bin3c.204.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,20.0,242.0,1.0,0.0,0.0,0.0,90.72,0.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,bin3c.205,custom,,,,,,bin3c.205.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,5.0,252.0,6.0,0.0,0.0,0.0,96.64,3.02,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,bin3c.209,custom,,,,,,bin3c.209.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,11.0,249.0,3.0,0.0,0.0,0.0,94.11,1.34,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,bin3c.210,custom,,,,,,bin3c.210.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,18.0,239.0,6.0,0.0,0.0,0.0,92.6,2.91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,bin3c.211,custom,,,,,,bin3c.211.contigs,c__Deltaproteobacteria (UID3218),61.0,284.0,169.0,5.0,274.0,3.0,1.0,1.0,0.0,98.04,2.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,bin3c.212,custom,,,,,,bin3c.212.contigs,o__Clostridiales (UID1212),172.0,263.0,149.0,4.0,249.0,10.0,0.0,0.0,0.0,97.65,1.82,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
