user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_016699405.1	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__JAAYLR01;s__						GCA_012521815.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__JAAYLR01;s__JAAYLR01 sp012521815	79.13	0.55	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	taxonomic classification defined by topology and ANI			92.24	11	0.875968758	
GCA_016699425.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__SSEF01;s__						GCA_008012175.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__SSEF01;s__SSEF01 sp008012175	78.62	0.29	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__;s__	taxonomic classification defined by topology and ANI			73.26	11	0.953299629	
GCA_016699445.1	d__Bacteria;p__UBA10199;c__UBA10199;o__2-02-FULL-50-16;f__;g__;s__						GCA_001798715.1	95.0	d__Bacteria;p__UBA10199;c__UBA10199;o__2-02-FULL-50-16;f__2-02-FULL-50-16;g__2-02-FULL-50-16;s__2-02-FULL-50-16 sp001798715	76.84	0.02	d__Bacteria;p__UBA10199;c__UBA10199;o__;f__;g__;s__	taxonomic classification defined by topology and ANI			86.12	11	0.557760252	
GCA_016699465.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__GCA-2401445;g__;s__						GCA_002401445.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__GCA-2401445;g__GCA-2401445;s__GCA-2401445 sp002401445	77.31	0.01	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__;g__;s__	taxonomic classification defined by topology and ANI			64.9	11	0.737033516	
GCA_016699515.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UM-FILTER-43-11;f__UM-FILTER-43-11;g__;s__						GCA_003154375.1	95.0	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UM-FILTER-43-11;f__UM-FILTER-43-11;g__FEN-1329;s__FEN-1329 sp003154375	75.73	0.02	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__UM-FILTER-43-11;f__UM-FILTER-43-11;g__;s__	taxonomic classification defined by topology and ANI			68.67	11	0.775806084	
GCA_016699535.1	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__;g__;s__											d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__;g__;s__	taxonomic classification fully defined by topology			88.82	11	0.607760614	
GCA_016699575.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__						GCA_902825795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp902825795	79.54	0.53	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification defined by topology and ANI		GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 79.55, 0.38; GCA_002342985.1, s__PHOS-HE28 sp002342985, 95.0, 79.39, 0.33; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 79.3, 0.36; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 78.99, 0.26; GCA_008016945.1, s__PHOS-HE28 sp008016945, 95.0, 78.94, 0.25; GCA_902826215.1, s__PHOS-HE28 sp902826215, 95.0, 78.76, 0.23; GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 78.65, 0.28; GCA_002396605.1, s__PHOS-HE28 sp002396605, 95.0, 77.66, 0.25	97.66	11	0.949187231	
GCA_016699595.1	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__B142;f__;g__;s__						GCA_003694175.1	95.0	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__B142;f__J137;g__J137;s__J137 sp003694175	78.77	0.02	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__B142;f__;g__;s__	taxonomic classification defined by topology and ANI			64.24	11	0.621774956	
GCA_016699615.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__	taxonomic novelty determined using RED			92.24	11	0.666801365	
GCA_016699635.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__						GCA_002455375.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__OLB10 sp002455375	88.46	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__	taxonomic classification defined by topology and ANI		GCA_001567275.1, s__OLB10 sp001567275, 95.0, 77.07, 0.26	81.24	11	0.986918217	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_016699655.1	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__UBA5070;s__						GCA_002414805.1	95.0	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__UBA5070;s__UBA5070 sp002414805	86.25	0.83	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__UBA5070;s__	taxonomic classification defined by topology and ANI		GCA_903825275.1, s__UBA5070 sp903825275, 95.0, 78.43, 0.16	95.0	11	0.983775736	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_016699675.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	taxonomic novelty determined using RED			97.88	11	0.923569392	
GCA_016699695.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__						GCA_003508755.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__UBA10428 sp003508755	76.37	0.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__	taxonomic classification defined by topology and ANI		GCA_003252385.1, s__UBA10428 sp003252385, 95.0, 75.55, 0.04	96.78	11	0.9180805	
GCA_016699715.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter;s__						GCF_012939995.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter;s__Competibacter phosphatis	89.76	0.75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__	taxonomic classification defined by topology and ANI			94.74	11	0.982000966	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_016699735.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic novelty determined using RED			95.99	11	0.872488427	
GCA_016699755.1	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__CAIRYL01;f__;g__;s__						GCA_903882825.1	95.0	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__CAIRYL01;f__CAIRYL01;g__CAIRYL01;s__CAIRYL01 sp903882825	76.96	0.02	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI			79.65	11	0.690895481	
GCA_016699775.1	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__UBA919;s__						GCA_002344425.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__UBA919;s__UBA919 sp002344425	78.05	0.1	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__UBA917;g__;s__	taxonomic classification defined by topology and ANI			70.82	11	0.898672952	
GCA_016699795.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__GCA-2747515;g__;s__						GCA_002747515.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__GCA-2747515;g__GCA-2747515;s__GCA-2747515 sp002747515	75.72	0.02	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			75.22	11	0.730962322	
GCA_016699815.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp002381005	GCA_002381005.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp002381005	99.86	0.99	GCA_002381005.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp002381005	99.86	0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001898465.1, s__Ferruginibacter sp001898465, 95.0, 77.06, 0.21; GCA_002352045.1, s__Ferruginibacter sp002352045, 95.0, 76.89, 0.21; GCA_013141115.1, s__Ferruginibacter sp013141115, 95.0, 76.75, 0.17; GCA_002343985.1, s__Ferruginibacter sp002343985, 95.0, 76.39, 0.07; GCA_002400445.1, s__Ferruginibacter sp002400445, 95.0, 76.38, 0.08; GCA_014379905.1, s__Ferruginibacter sp014379905, 95.0, 76.38, 0.16; GCA_014377385.1, s__Ferruginibacter sp014377385, 95.0, 76.32, 0.07; GCA_903878475.1, s__Ferruginibacter sp903878475, 95.0, 76.32, 0.08; GCA_903858475.1, s__Ferruginibacter sp903858475, 95.0, 76.21, 0.07; GCA_002336815.1, s__Ferruginibacter sp002336815, 95.0, 76.14, 0.06; GCA_903871575.1, s__Ferruginibacter sp903871575, 95.0, 76.08, 0.09; GCA_903837525.1, s__Ferruginibacter sp903837525, 95.0, 76.07, 0.12; GCA_014379625.1, s__Ferruginibacter sp014379625, 95.0, 75.93, 0.08; GCA_003534175.1, s__Ferruginibacter sp003534175, 95.0, 75.92, 0.06; GCA_903831575.1, s__Ferruginibacter sp903831575, 95.0, 75.9, 0.09; GCA_009885535.1, s__Ferruginibacter sp009885535, 95.0, 75.89, 0.06; GCA_013298665.1, s__Ferruginibacter sp013298665, 95.0, 75.88, 0.06; GCA_013141435.1, s__Ferruginibacter sp013141435, 95.0, 75.84, 0.11; GCA_013288745.1, s__Ferruginibacter sp013288745, 95.0, 75.81, 0.06; GCA_014377975.1, s__Ferruginibacter sp014377975, 95.0, 75.69, 0.1; GCA_003455235.1, s__Ferruginibacter sp003455235, 95.0, 75.65, 0.04	96.17	11		
GCA_016699835.1	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__											d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	taxonomic classification fully defined by topology			87.37	11	0.864909619	
GCA_016699855.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__;s__	taxonomic novelty determined using RED			93.67	11	0.85387506	
GCA_016699875.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__											d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__	taxonomic novelty determined using RED			72.84	11	0.741131538	
GCA_016699895.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__											d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__	taxonomic classification fully defined by topology			75.06	11	0.882236049	
GCA_016699915.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__;g__;s__	taxonomic novelty determined using RED			97.24	11	0.829848301	
GCA_016699935.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__						GCA_002746885.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__GCA-2746885 sp002746885	77.8	0.14	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	taxonomic classification defined by topology and ANI			48.36	11	0.928944315	
GCA_016699955.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__						GCA_002746885.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__GCA-2746885 sp002746885	77.64	0.12	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	taxonomic classification defined by topology and ANI			78.06	11	0.935158231	
GCA_016699975.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__											d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__;g__;s__	taxonomic novelty determined using RED			69.9	11	0.742049047	
GCA_016699995.1	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__UBA920;s__						GCA_002293685.1	95.0	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__UBA920;s__UBA920 sp002293685	78.2	0.11	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__;s__	taxonomic classification defined by topology and ANI			70.28	11	0.904773718	
GCA_016700015.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__						GCA_002299795.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp002299795	80.55	0.4	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__	taxonomic classification defined by topology and ANI		GCF_000392435.1, s__Saccharimonas aalborgensis, 95.0, 81.46, 0.18; GCF_010202265.1, s__Saccharimonas sp010202265, 95.0, 78.48, 0.09; GCA_002336935.1, s__Saccharimonas sp002336935, 95.0, 77.38, 0.16; GCA_002421785.1, s__Saccharimonas sp002421785, 95.0, 77.32, 0.15; GCA_002441145.1, s__Saccharimonas sp002441145, 95.0, 76.86, 0.1; GCA_013333625.2, s__Saccharimonas sp013333625, 95.0, 76.8, 0.07; GCA_013333675.2, s__Saccharimonas sp013333675, 95.0, 76.73, 0.05; GCA_013333645.2, s__Saccharimonas sp013333645, 95.0, 76.66, 0.06; GCA_013333795.2, s__Saccharimonas sp013333795, 95.0, 76.64, 0.05; GCA_013333845.2, s__Saccharimonas sp013333845, 95.0, 76.56, 0.04; GCA_002337095.1, s__Saccharimonas sp002337095, 95.0, 76.48, 0.07; GCA_002336735.1, s__Saccharimonas sp002336735, 95.0, 75.61, 0.04	74.73	11	0.96231527	
GCA_016700035.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__CAILAD01;f__;g__;s__											d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__;f__;g__;s__	taxonomic novelty determined using RED			73.54	11	0.630933682	
GCA_016700055.1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	taxonomic novelty determined using RED			92.14	11	0.829974013	
GCA_016700075.1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__											d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__	ANI		GCA_001464665.1, s__OLB17 sp001464665, 95.0, 77.48, 0.18; GCA_011388875.1, s__OLB17 sp011388875, 95.0, 77.39, 0.05; GCA_002333435.1, s__OLB17 sp002333435, 95.0, 77.31, 0.14; GCA_001567505.1, s__OLB17 sp001567505, 95.0, 77.16, 0.17; GCA_902826385.1, s__OLB17 sp902826385, 95.0, 77.02, 0.12; GCA_002360555.1, s__OLB17 sp002360555, 95.0, 77.01, 0.17; GCA_001464455.1, s__OLB17 sp001464455, 95.0, 77.0, 0.14; GCA_902826795.1, s__OLB17 sp902826795, 95.0, 76.78, 0.14; GCA_013695495.1, s__OLB17 sp013695495, 95.0, 76.77, 0.1; GCA_013140875.1, s__OLB17 sp013140875, 95.0, 76.69, 0.1; GCA_003223025.1, s__OLB17 sp003223025, 95.0, 76.65, 0.11; GCA_003223975.1, s__OLB17 sp003223975, 95.0, 76.63, 0.1; GCA_003577445.1, s__OLB17 sp003577445, 95.0, 76.53, 0.12; GCA_014379075.1, s__OLB17 sp014379075, 95.0, 76.27, 0.09; GCA_013695195.1, s__OLB17 sp013695195, 95.0, 76.19, 0.07; GCA_002483395.1, s__OLB17 sp002483395, 95.0, 76.01, 0.1	94.36	11	0.930967046	
GCA_016700095.1	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__;s__											d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__;s__	taxonomic classification fully defined by topology			60.93	11	0.714894092	
