genome_id,source,Level,WGS,Chrs,BioSample,strain,organism,genus,species,closest_placement_reference
GCA_016716235.1,ncbi,Contig,JADJWS000000000,undefined,SAMN16426173,Kalu_18-Q3-R12-55_BAT3C.361,Anaerolineae bacterium,Anaerolineae,bacterium,
GCA_016718485.1,ncbi,Contig,JADKDF000000000,undefined,SAMN16426357,OdNW_18-Q3-R42-56_BAT3C.33_sub,Anaerolineae bacterium,Anaerolineae,bacterium,
GCA_016719785.1,ncbi,Contig,JADJYJ000000000,undefined,SAMN16426226,Lyne_18-Q3-R50-59_BATAC.272,Anaerolineae bacterium,Anaerolineae,bacterium,
GCA_016721115.1,ncbi,Contig,JADKIW000000000,undefined,SAMN16426508,Skiv_18-Q3-R9-52_MAXAC.174,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016721315.1,ncbi,Contig,JADKIL000000000,undefined,SAMN16426497,Skiv_18-Q3-R9-52_MAXAC.043,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016718275.1,ncbi,Contig,JADKEA000000000,undefined,SAMN16426378,OdNW_18-Q3-R42-56_MAXAC.037,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016717045.1,ncbi,Contig,JADJUO000000000,undefined,SAMN16426113,Hirt_18-Q3-R61-65_MAXAC.030,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016714565.1,ncbi,Contig,JADKDM000000000,undefined,SAMN16426364,OdNW_18-Q3-R42-56_BATAC.378,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016714625.1,ncbi,Contig,JADKCM000000000,undefined,SAMN16426338,OdNE_18-Q3-R46-58_MAXAC.047,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016715195.1,ncbi,Contig,JADKBB000000000,undefined,SAMN16426300,Mari_18-Q3-R65-66_MAXAC.029,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016713335.1,ncbi,Contig,JADJPH000000000,undefined,SAMN16425967,Fred_18-Q3-R57-64_BATAC.359,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016711665.1,ncbi,Contig,JADJSO000000000,undefined,SAMN16426059,Hade_18-Q3-R52-61_MAXAC.042,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016705895.1,ncbi,Contig,JADJKT000000000,undefined,SAMN16425837,EsbE_18-Q3-R3-47_MAXAC.031_sub,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016710365.1,ncbi,Contig,JADJVW000000000,undefined,SAMN16426149,Hjor_18-Q3-R7-51_MAXAC.079_sub,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016709305.1,ncbi,Contig,JADJNA000000000,undefined,SAMN16425897,EsbW_18-Q3-R4-48_MAXAC.021,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016709275.1,ncbi,Contig,JADJNB000000000,undefined,SAMN16425898,EsbW_18-Q3-R4-48_MAXAC.032,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016722685.1,ncbi,Contig,JADKIK000000000,undefined,SAMN16426496,Skiv_18-Q3-R9-52_MAXAC.035,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016703605.1,ncbi,Contig,JADJBU000000000,undefined,SAMN16425595,Aved_18-Q3-R54-62_BAT3C.518,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016702885.1,ncbi,Contig,JADJDD000000000,undefined,SAMN16425631,Aved_18-Q3-R54-62_MAXAC.057_sub,Anaerolineales bacterium,Anaerolineales,bacterium,
GCA_016718565.1,ncbi,Contig,JADKCZ000000000,undefined,SAMN16426351,OdNW_18-Q3-R42-56_BAT3C.134_sub,Anaeromyxobacter sp.,Anaeromyxobacter,sp.,
GCA_016720265.1,ncbi,Contig,JADKKZ000000000,undefined,SAMN16426566,Viby_18-Q3-R106-67_MAXAC.089,Anaeromyxobacter sp.,Anaeromyxobacter,sp.,
GCA_016714225.1,ncbi,Contig,JADJNS000000000,undefined,SAMN16425916,EsbW_18-Q3-R4-48_MAXAC.252,Archangiaceae bacterium,Archangiaceae,bacterium,
GCA_016705495.1,ncbi,Contig,JADIYC000000000,undefined,SAMN16425494,AalE_18-Q3-R2-46_BAT3C.204,Arcobacter sp.,Arcobacter,sp.,
GCA_016704125.1,ncbi,Contig,JADJAU000000000,undefined,SAMN16425566,AalW_18-Q3-R10-53_MAXAC.024,Arcobacter sp.,Arcobacter,sp.,
GCA_016703025.1,ncbi,Contig,JADJCV000000000,undefined,SAMN16425623,Aved_18-Q3-R54-62_BATAC.767,Ardenticatenales bacterium,Ardenticatenales,bacterium,
GCA_016709185.1,ncbi,Contig,JADJNM000000000,undefined,SAMN16425909,EsbW_18-Q3-R4-48_MAXAC.090,Ardenticatenia bacterium,Ardenticatenia,bacterium,
GCA_016710785.1,ncbi,Contig,JADJUE000000000,undefined,SAMN16426102,Hirt_18-Q3-R61-65_BATAC.427,Ardenticatenia bacterium,Ardenticatenia,bacterium,
GCA_016711265.1,ncbi,Contig,JADJTI000000000,undefined,SAMN16426079,Hirt_18-Q3-R61-65_BAT3C.202,Austwickia sp.,Austwickia,sp.,
GCA_016706875.1,ncbi,Contig,JADJIT000000000,undefined,SAMN16425783,Ejby_18-Q3-R6-50_BAT3C.203,Austwickia sp.,Austwickia,sp.,
GCA_016719725.1,ncbi,Contig,JADJYO000000000,undefined,SAMN16426232,Lyne_18-Q3-R50-59_BATAC.420,Austwickia sp.,Austwickia,sp.,
GCA_016699675.1,ncbi,Complete genome,undefined,1,SAMN16425987,Fred_18-Q3-R57-64_BATAC.85v2,Austwickia sp.,Austwickia,sp.,
GCA_016719365.1,ncbi,Contig,JADJZG000000000,undefined,SAMN16426250,Lyne_18-Q3-R50-59_MAXAC.021,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016715075.1,ncbi,Contig,JADKBK000000000,undefined,SAMN16426309,Mari_18-Q3-R65-66_MAXAC.219,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016714605.1,ncbi,Contig,JADKDL000000000,undefined,SAMN16426363,OdNW_18-Q3-R42-56_BATAC.352,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016706775.1,ncbi,Contig,JADJIY000000000,undefined,SAMN16425788,Ejby_18-Q3-R6-50_BAT3C.384,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016707705.1,ncbi,Contig,JADJHD000000000,undefined,SAMN16425739,Damh_18-Q3-R51-60_MAXAC.107,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016707785.1,ncbi,Contig,JADJGZ000000000,undefined,SAMN16425735,Damh_18-Q3-R51-60_MAXAC.084,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016708515.1,ncbi,Contig,JADJFO000000000,undefined,SAMN16425696,Bjer_18-Q3-R1-45_MAXAC.058_sub,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016708015.1,ncbi,Contig,JADJGL000000000,undefined,SAMN16425720,Damh_18-Q3-R51-60_BAT3C.434,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016709425.1,ncbi,Contig,JADJMR000000000,undefined,SAMN16425888,EsbW_18-Q3-R4-48_BATAC.459,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016709025.1,ncbi,Contig,JADJEQ000000000,undefined,SAMN16425671,Bjer_18-Q3-R1-45_BAT3C.220,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016709055.1,ncbi,Contig,JADJEO000000000,undefined,SAMN16425668,Bjer_18-Q3-R1-45_BAT3C.178,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016709865.1,ncbi,Contig,JADJLX000000000,undefined,SAMN16425867,EsbW_18-Q3-R4-48_BAT3C.307,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016705005.1,ncbi,Contig,JADIZB000000000,undefined,SAMN16425519,AalE_18-Q3-R2-46_MAXAC.025,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016706115.1,ncbi,Contig,JADJKH000000000,undefined,SAMN16425825,EsbE_18-Q3-R3-47_BATAC.189,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016706185.1,ncbi,Contig,JADJKD000000000,undefined,SAMN16425820,EsbE_18-Q3-R3-47_BAT3C.210,Bacteroidales bacterium,Bacteroidales,bacterium,
GCA_016722565.1,ncbi,Contig,JADKIU000000000,undefined,SAMN16426506,Skiv_18-Q3-R9-52_MAXAC.125,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016722525.1,ncbi,Contig,JADKJB000000000,undefined,SAMN16426513,Skiv_18-Q3-R9-52_MAXAC.287,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016706265.1,ncbi,Contig,JADJJW000000000,undefined,SAMN16425813,EsbE_18-Q3-R3-47_BAT3C.118,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016706255.1,ncbi,Contig,JADJJZ000000000,undefined,SAMN16425816,EsbE_18-Q3-R3-47_BAT3C.161,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016706485.1,ncbi,Contig,JADJJN000000000,undefined,SAMN16425803,Ejby_18-Q3-R6-50_MAXAC.023,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016705135.1,ncbi,Contig,JADIYV000000000,undefined,SAMN16425513,AalE_18-Q3-R2-46_BATAC.574,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016705125.1,ncbi,Contig,JADIYW000000000,undefined,SAMN16425514,AalE_18-Q3-R2-46_BATAC.579,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016704865.1,ncbi,Contig,JADIZI000000000,undefined,SAMN16425526,AalE_18-Q3-R2-46_MAXAC.103,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016704735.1,ncbi,Contig,JADIZO000000000,undefined,SAMN16425532,AalW_18-Q3-R10-53_BAT3C.196,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016709805.1,ncbi,Contig,JADJMC000000000,undefined,SAMN16425873,EsbW_18-Q3-R4-48_BATAC.159,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016709625.1,ncbi,Contig,JADJML000000000,undefined,SAMN16425882,EsbW_18-Q3-R4-48_BATAC.355,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016709725.1,ncbi,Contig,JADJMG000000000,undefined,SAMN16425877,EsbW_18-Q3-R4-48_BATAC.26,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016711545.1,ncbi,Contig,JADJST000000000,undefined,SAMN16426064,Hade_18-Q3-R52-61_MAXAC.088,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016711505.1,ncbi,Contig,JADJSV000000000,undefined,SAMN16426066,Hade_18-Q3-R52-61_MAXAC.102,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016711065.1,ncbi,Contig,JADJTS000000000,undefined,SAMN16426090,Hirt_18-Q3-R61-65_BAT3C.499,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016707995.1,ncbi,Contig,JADJGP000000000,undefined,SAMN16425725,Damh_18-Q3-R51-60_BATAC.249,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016707905.1,ncbi,Contig,JADJGT000000000,undefined,SAMN16425729,Damh_18-Q3-R51-60_BATAC.307,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016708205.1,ncbi,Contig,JADJGE000000000,undefined,SAMN16425712,Bjer_18-Q3-R1-45_MAXAC.232,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016708595.1,ncbi,Contig,JADJFL000000000,undefined,SAMN16425693,Bjer_18-Q3-R1-45_MAXAC.024,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016708545.1,ncbi,Contig,JADJFP000000000,undefined,SAMN16425697,Bjer_18-Q3-R1-45_MAXAC.065,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016708785.1,ncbi,Contig,JADJFC000000000,undefined,SAMN16425684,Bjer_18-Q3-R1-45_BATAC.43,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016708845.1,ncbi,Contig,JADJFB000000000,undefined,SAMN16425683,Bjer_18-Q3-R1-45_BATAC.331,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016707685.1,ncbi,Contig,JADJHE000000000,undefined,SAMN16425740,Damh_18-Q3-R51-60_MAXAC.126_sub,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016707305.1,ncbi,Contig,JADJHY000000000,undefined,SAMN16425761,Ega_18-Q3-R5-49_BATAC.486,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016706595.1,ncbi,Contig,JADJJH000000000,undefined,SAMN16425797,Ejby_18-Q3-R6-50_BATAC.314,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016706865.1,ncbi,Contig,JADJIS000000000,undefined,SAMN16425782,Ejby_18-Q3-R6-50_BAT3C.200,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016707105.1,ncbi,Contig,JADJIK000000000,undefined,SAMN16425773,Ega_18-Q3-R5-49_MAXAC.074,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016706985.1,ncbi,Contig,JADJIL000000000,undefined,SAMN16425774,Ega_18-Q3-R5-49_MAXAC.075,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016714535.1,ncbi,Contig,JADKDR000000000,undefined,SAMN16426369,OdNW_18-Q3-R42-56_BATAC.438,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016714615.1,ncbi,Contig,JADKCJ000000000,undefined,SAMN16426335,OdNE_18-Q3-R46-58_MAXAC.025,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016714715.1,ncbi,Contig,JADKCE000000000,undefined,SAMN16426330,OdNE_18-Q3-R46-58_BATAC.385_sub,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016715625.1,ncbi,Contig,JADJZU000000000,undefined,SAMN16426264,Lyne_18-Q3-R50-59_MAXAC.253,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016715505.1,ncbi,Contig,JADJZY000000000,undefined,SAMN16426268,Lyne_18-Q3-R50-59_MAXAC.310,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016715425.1,ncbi,Contig,JADKAC000000000,undefined,SAMN16426273,Lyne_18-Q3-R50-59_MAXAC.340,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016716985.1,ncbi,Contig,JADJUR000000000,undefined,SAMN16426116,Hirt_18-Q3-R61-65_MAXAC.063,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016715945.1,ncbi,Contig,JADJXJ000000000,undefined,SAMN16426194,Kalu_18-Q3-R12-55_MAXAC.091,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016715745.1,ncbi,Contig,JADJZL000000000,undefined,SAMN16426255,Lyne_18-Q3-R50-59_MAXAC.074,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016714145.1,ncbi,Contig,JADJNT000000000,undefined,SAMN16425917,EsbW_18-Q3-R4-48_MAXAC.253,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016714005.1,ncbi,Contig,JADJOA000000000,undefined,SAMN16425930,Fred_18-Q3-R57-64_BAT3C.256,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016713925.1,ncbi,Contig,JADJOH000000000,undefined,SAMN16425937,Fred_18-Q3-R57-64_BAT3C.394,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016713765.1,ncbi,Contig,JADJON000000000,undefined,SAMN16425947,Fred_18-Q3-R57-64_BAT3C.606,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016713645.1,ncbi,Contig,JADJOU000000000,undefined,SAMN16425954,Fred_18-Q3-R57-64_BATAC.17,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016713525.1,ncbi,Contig,JADJOZ000000000,undefined,SAMN16425959,Fred_18-Q3-R57-64_BATAC.274,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016713445.1,ncbi,Contig,JADJPB000000000,undefined,SAMN16425961,Fred_18-Q3-R57-64_BATAC.296,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016711825.1,ncbi,Contig,JADJSG000000000,undefined,SAMN16426051,Hade_18-Q3-R52-61_BATAC.692,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016711805.1,ncbi,Contig,JADJSH000000000,undefined,SAMN16426052,Hade_18-Q3-R52-61_BATAC.713,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016711785.1,ncbi,Contig,JADJSJ000000000,undefined,SAMN16426054,Hade_18-Q3-R52-61_BATAC.786,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016712665.1,ncbi,Contig,JADJQP000000000,undefined,SAMN16426004,Fred_18-Q3-R57-64_MAXAC.283_sub,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719345.1,ncbi,Contig,JADJZH000000000,undefined,SAMN16426251,Lyne_18-Q3-R50-59_MAXAC.025,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719285.1,ncbi,Contig,JADJZM000000000,undefined,SAMN16426256,Lyne_18-Q3-R50-59_MAXAC.083,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719685.1,ncbi,Contig,JADJYP000000000,undefined,SAMN16426233,Lyne_18-Q3-R50-59_BATAC.464,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718825.1,ncbi,Contig,JADKCL000000000,undefined,SAMN16426337,OdNE_18-Q3-R46-58_MAXAC.036,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718805.1,ncbi,Contig,JADKCP000000000,undefined,SAMN16426341,OdNE_18-Q3-R46-58_MAXAC.070,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718755.1,ncbi,Contig,JADKCS000000000,undefined,SAMN16426344,OdNE_18-Q3-R46-58_MAXAC.085,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718695.1,ncbi,Contig,JADKCT000000000,undefined,SAMN16426345,OdNE_18-Q3-R46-58_MAXAC.086,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719205.1,ncbi,Contig,JADKAG000000000,undefined,SAMN16426278,Mari_18-Q3-R65-66_BAT3C.187,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719045.1,ncbi,Contig,JADKAX000000000,undefined,SAMN16426296,Mari_18-Q3-R65-66_BATAC.401,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719005.1,ncbi,Contig,JADKBE000000000,undefined,SAMN16426303,Mari_18-Q3-R65-66_MAXAC.086,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718875.1,ncbi,Contig,JADKBL000000000,undefined,SAMN16426310,Mari_18-Q3-R65-66_MAXAC.224,Bacteroidetes bacterium,Bacteroidetes,bacterium,
