BGC,Accession ID,Description,Product Prediction,BiG-SCAPE class,Organism,Taxonomy,genome_id,group
BDTP01000068.1.region001,BDTP01000068.1,Bacterium bms3bbin06 strain BMS3Bbin06,ladderane,Others,Bacterium bms3bbin06,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Abin08,BMS3Abin08 sp002897935",GCA_002897875,NCBI
BDTP01000072.1.region001,BDTP01000072.1,Bacterium bms3bbin06 strain BMS3Bbin06,ranthipeptide,RiPPs,Bacterium bms3bbin06,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Abin08,BMS3Abin08 sp002897935",GCA_002897875,NCBI
BDTQ01000159.1.region001,BDTQ01000159.1,Bacterium bms3bbin07 strain BMS3Bbin07,NRPS-like,NRPS,Bacterium bms3bbin07,"Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Bbin07,BMS3Bbin07 sp002898135",GCA_002898135,NCBI
BDTR01000014.1.region001,BDTR01000014.1,Bacterium bms3bbin08 strain BMS3Bbin08,T1PKS.NRPS,PKS-NRP_Hybrids,Bacterium bms3bbin08,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897775,NCBI
BDTR01000029.1.region001,BDTR01000029.1,Bacterium bms3bbin08 strain BMS3Bbin08,ladderane,Others,Bacterium bms3bbin08,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897775,NCBI
BDTR01000029.1.region002,BDTR01000029.1,Bacterium bms3bbin08 strain BMS3Bbin08,T3PKS,PKSother,Bacterium bms3bbin08,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897775,NCBI
BDTR01000051.1.region001,BDTR01000051.1,Bacterium bms3bbin08 strain BMS3Bbin08,ranthipeptide,RiPPs,Bacterium bms3bbin08,"Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,BMS3Bbin08 sp002897775",GCA_002897775,NCBI
BGC0000001.1,BGC0000001.1,"Verrucosispora maris AB-18-032 protein methyltransferase (orfP), putative hydrolase, pathway-specific SARP activator (abyR), cytochrome P450 (abyX), LuxR family transcriptional regulator (abyH), pathway-specific SARP activator (abyI), YD repeat protein (abyK), 3-oxoacyl-ACP synthase III (abyA1), phosphatase and glyceryl transferase (abyA2), acyl-carrier protein (abyA3), pyruvate/2-oxoglutarate dehydrogenase (abyA4), AbyA5 (abyA5), type 1 polyketide synthase (abyB1), type 1 polyketide synthase (abyB2), type 1 polyketide synthase (abyB3), TetR regulatory protein (abyC), EmrB/QacA drug resistance transporter (abyD), luciferase/monooxygenase (abyE), BC transporter oligopeptide binding protein (abyF1), ABC transporter oligopeptide permease (abyF2), binding-protein dependent ABC transporter (abyF3), ATP-binding ABC peptide transporter (abyF4), cytochrome P450 (abyV), alcohol dehydrogenase (abyW), NAD(P)H-depedent FMN-reductase (abyZ), type II thioesterase (abyT), Zn-dependent alcohol dehydrogenase (orfU), and TetR transcriptional regulator (orfS) genes, complete cds",T1PKS,PKSI,Verrucosispora maris AB-18-032,"Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora",,MIBIG
BGC0000002.1,BGC0000002.1,"Kutzneria albida DSM 43870, complete genome",T1PKS.oligosaccharide,Others,Kutzneria albida DSM 43870,"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria",,MIBIG
BGC0000003.1,BGC0000003.1,"Alternaria alternata AF-toxin biosynthesis gene cluster (Aft9-1, Aft10-1, Aft11-1, Aft12-1, AftR-2, Aft3-2), complete cds",T1PKS,PKSI,Alternaria alternata,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria alternata group",,MIBIG
BGC0000004.1,BGC0000004.1,"Aspergillus oryzae DNA, aflatoxin biosynthesis gene cluster, complete sequence, strain: RIB40",T1PKS,PKSI,Aspergillus oryzae,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000005.1,BGC0000005.1,"Aspergillus parasiticus strain ATCC 56775 aflatoxin biosynthetic gene cluster, partial sequence",,Others,Aspergillus parasiticus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000006.1,BGC0000006.1,"Aspergillus flavus isolate AF13 aflatoxin biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Aspergillus flavus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000007.1,BGC0000007.1,"Aspergillus flavus isolate BN008 aflatoxin biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Aspergillus flavus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000008.1,BGC0000008.1,"Aspergillus flavus isolate AF70 aflatoxin biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Aspergillus flavus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000009.1,BGC0000009.1,"Aspergillus nomius isolate AN13137 aflatoxin biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Aspergillus nomius,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000010.1,BGC0000010.1,"Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence",,Others,Aspergillus flavus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000011.1,BGC0000011.1,"Aspergillus ochraceoroseus strain SRRC 1432 aflatoxin/sterigmatocystin gene cluster, complete sequence",T1PKS,PKSI,Aspergillus ochraceoroseus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000012.1,BGC0000012.1,"Alternaria solani alt1, alt2, alt3, alt4, alt5 genes for cytochrome P-450, cytochrome, P-450, cytochrome P-450, FAD/FMN-dependent oxygenase/oxidase, polyketide synthase, complete cds",T1PKS,PKSI,Alternaria solani,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria",,MIBIG
BGC0000013.1,BGC0000013.1,TPA_asm: Aspergillus nidulans FGSC A4 chromosome IV,T1PKS,PKSI,Aspergillus nidulans FGSC A4,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000014.1,BGC0000014.1,"Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds",NRPS-like.T1PKS,PKS-NRP_Hybrids,Sorangium cellulosum,"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium",,MIBIG
BGC0000016.1,BGC0000016.1,"Streptomyces nodosus amphotericin biosynthetic gene cluster, partial sequence",,Others,Streptomyces nodosus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000017.1,BGC0000017.1,"Oscillatoria sp. PCC 6506 anatoxin-a and homoanatoxin-a biosynthetic gene cluster, complete sequence",T1PKS,PKSI,[Oscillatoria] sp. PCC 6506,"Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Kamptonema",,MIBIG
BGC0000018.1,BGC0000018.1,"Streptomyces eurythermus strain ATCC 23956 anglomycin biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Streptomyces eurythermus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000019.1,BGC0000019.1,"Streptomyces eurythermus angolamycin biosynthesis gene cluster, complete sequence",,Others,Streptomyces eurythermus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000020.1,BGC0000020.1,"Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence",NRPS-like.T1PKS,PKS-NRP_Hybrids,Actinosynnema pretiosum subsp. auranticum,"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema",,MIBIG
BGC0000021.1,BGC0000021.1,"Nocardiopsis sp. FU40 apoptolidin gene cluster, complete sequence",T1PKS,PKSI,Nocardiopsis sp. FU 40,"Bacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis",,MIBIG
BGC0000022.1,BGC0000022.1,"Aspergillus nidulans FGSC A4 chromosome VIII ANcontig1.15, whole genome shotgun sequence",T1PKS,PKSI,Aspergillus nidulans FGSC A4,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000023.1,BGC0000023.1,"Stigmatella aurantiaca aurafuron biosynthetic gene cluster, strain DW4/3-1",T1PKS,PKSI,Stigmatella aurantiaca DW4/3-1,"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella",,MIBIG
BGC0000024.1,BGC0000024.1,"Streptomyces thioluteus aureothin biosynthesis gene cluster (aurABCDEFGHI genes), strain HKI-22",T1PKS,PKSI,Streptomyces thioluteus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000025.1,BGC0000025.1,"Streptomyces avermitilis avermectin biosynthetic gene cluster (orf1, aveBI, aveBII, aveBIII, aveBIV, aveBV, aveBVI, aveBVII, aveBVIII), complete cds",,Others,Streptomyces avermitilis,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000026.1,BGC0000026.1,"Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence",PKS-like.T1PKS.oligosaccharide,Others,Streptomyces viridochromogenes Tue57,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000027.1,BGC0000027.1,"Monascus pilosus pigment biosynthetic gene cluster, complete sequence",T1PKS,PKSI,Monascus pilosus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus",,MIBIG
BGC0000028.1,BGC0000028.1,"Streptomyces lohii strain ATCC BAA-1276 bafilomycin biosynthetic gene cluster, complete sequence; and putative LuxR-like protein, putative malonyl transferase, and putative CoA ligase genes, complete cds",T1PKS,PKSI,Streptomyces lohii,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000029.1,BGC0000029.1,"Streptomyces sp. DSM 21069 putative secreted metal-binding protein, putative lipoprotein, and hypothetical protein genes, complete cds; BE-14106 biosynthetic gene cluster, complete sequence; putative tripeptidylaminopeptidase and putative urease accessory proteins genes, complete cds; and putative urease accessory protein gene, partial cds",T1PKS,PKSI,Streptomyces sp. DSM 21069,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000030.1,BGC0000030.1,"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr05",T1PKS,PKSI,Fusarium fujikuroi IMI 58289,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex",,MIBIG
BGC0000031.1,BGC0000031.1,Streptomyces parvulus Tu4055 cluster for borrelidin biosynthesis,T1PKS,PKSI,Streptomyces parvulus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000032.1,BGC0000032.1,"Streptomyces chartreusis pyrrole polyether antibiotic calcimycin (A23187) biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Streptomyces chartreusis NRRL 3882,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000033.1,BGC0000033.1,"Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence",PKS-like.T1PKS.oligosaccharide,Others,Micromonospora echinospora,"Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora",,MIBIG
BGC0000034.1,BGC0000034.1,"Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence",NRPS-like.T1PKS,PKS-NRP_Hybrids,Streptomyces sp. FR-008,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000035.1,BGC0000035.1,"Streptomyces bikiniensis strain NRRL 2737 chalcomycin biosynthetic gene cluster, partial sequence",T1PKS,PKSI,Streptomyces bikiniensis,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000036.1,BGC0000036.1,"Streptomyces antibioticus acetyltransferase gene, partial cds; hypothetical protein and Orf0 genes, complete cds; chlorothricin biosynthetic gene cluster, complete sequence; ChlC7, ChlB1, ChlB4, ChlB2, ChlB3, ChlH, ChlC5, ChlC4, ChlC3, ChlI, ChlJ, ChlF2, ChlK, ChlC2, ChlC1, ChlC6, ChlL, peptidase M20, putative helicase, and ankyrin genes, complete cds; tankyrase1-binding protein gene, partial cds; and unknown gene",PKS-like.T1PKS,PKSother,Streptomyces antibioticus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000037.1,BGC0000037.1,TPA_asm: Aspergillus nidulans FGSC A4 chromosome I,T1PKS,PKSI,Aspergillus nidulans FGSC A4,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000038.1,BGC0000038.1,Streptomyces coelicolor A3(2) complete genome,T1PKS.butyrolactone,Others,Streptomyces coelicolor A3(2),"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group",,MIBIG
BGC0000039.1,BGC0000039.1,"Penicillium citrinum ML-236B (compactin) biosynthetic gene cluster (mlcH, mlcG, mlcF, mlcA, mlcC, mlcB, mlcD, mlcE, mlcR), complete cds",T1PKS,PKSI,Penicillium citrinum,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium",,MIBIG
BGC0000040.1,BGC0000040.1,"Streptomyces neyagawaensis concanamycin A biosynthetic gene cluster, complete sequence",T1PKS,PKSI,Streptomyces neyagawaensis,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000041.1,BGC0000041.1,"Pseudomonas syringae coronafacic acid biosynthetic gene cluster, complete sequence",T1PKS,PKSI,Pseudomonas syringae,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas",,MIBIG
BGC0000042.1,BGC0000042.1,"Streptomyces sp. MJ635-86F5 DNA, cremimycin biosynthetic gene cluster, complete sequence",T1PKS,PKSI,Streptomyces sp. MJ635-86F5,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000043.1,BGC0000043.1,"Moorea producens 19L curacin A biosynthetic gene cluster, partial sequence",T1PKS,PKSI,Moorea producens 19L,"Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Moorea",,MIBIG
BGC0000044.1,BGC0000044.1,"Stigmatella aurantiaca DW4/3-1, complete genome",T1PKS,PKSI,Stigmatella aurantiaca DW4/3-1,"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella",,MIBIG
BGC0000045.1,BGC0000045.1,"Aspergillus terreus strain AH-02-30-F7 dehydrocurvularin biosynthetic gene cluster, complete sequence",T1PKS,PKSI,Aspergillus terreus,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000046.1,BGC0000046.1,"Alternaria brassicicola strain MUCL 202097 depudecin gene cluster, complete sequence",T1PKS,PKSI,Alternaria brassicicola,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria",,MIBIG
BGC0000047.1,BGC0000047.1,"Streptomyces sp. KCTC 0041BP dihydrochalcomyin biosynthesis gene cluster, complete sequence",T1PKS,PKSI,Streptomyces sp. KCTC 0041BP,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000048.1,BGC0000048.1,"Mycosphaerella pini hypothetical protein (DS34) gene, partial cds; hypothetical protein (DS33), putative methionine permease (DS32), putative translation elongation factor (DS31), hypothetical protein (DS30), hypothetical protein (DS29), putative MFS multidrug transporter (DS28), hypothetical protein (DS27), hypothetical protein (DS26), putative amino acid permease (DS25), putative flavin-binding monooxygenase (moxA), epoxide hydrolase (epoA), averufin oxidase (avfA), cytochrome P450 monooxygenase (cypA), polyketide synthase (pksA), hypothetical protein (DS19), hypothetical protein (DS18), hypothetical protein (DS17), and hypothetical protein (DS16) genes, complete cds; and hypothetical protein (DS15) gene, partial cds",T1PKS,PKSI,Dothistroma septosporum,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Capnodiales,Mycosphaerellaceae,Dothistroma",,MIBIG
BGC0000050.1,BGC0000050.1,"Streptomyces aculeolatus A gene locus, complete sequence",T1PKS,PKSI,Streptomyces aculeolatus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000051.1,BGC0000051.1,"UNVERIFIED: Streptomyces aburaviensis ebelactone gene cluster, complete sequence",T1PKS,PKSI,Kitasatospora aburaviensis,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora",,MIBIG
BGC0000052.1,BGC0000052.1,"Streptomyces aizunensis strain NRRL B-11277 glycosyltransferase, polyketide synthase type Is, acyl transferase, membrane protein, ABC transporter, sugar dehydratase/epimerase, sugar epimerase, sugar nucleotidyltransferase, sugar dehydratase/epimerase, thioesterase, acyl CoA ligase, amine oxidase, phosphopantetheinyl transferase, transcriptional regulator, carboxylase/carboxyltransferase, amidinohydrolase, amide synthetase, 5-aminolevulinate synthase, and acyl CoA ligase genes, complete cds; and unknown gene",T1PKS,PKSI,Streptomyces aizunensis,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000053.1,BGC0000053.1,Sequence 49 from patent US 7595187,T1PKS,PKSI,Unknown. Unclassified.,,,MIBIG
BGC0000054.1,BGC0000054.1,"Aeromicrobium erythreum putative transcriptional repressor and putative dehydrogenase/reductase genes, complete cds; erythromycin biosynthesis gene cluster, complete sequence; putative oxidoreductase and LipN genes, complete cds; monoamine oxidase gene, partial cds; and unknown gene",T1PKS,PKSI,Aeromicrobium erythreum,"Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium",,MIBIG
BGC0000055.1,BGC0000055.1,Saccharopolyspora erythraea NRRL2338 complete genome,T1PKS,PKSI,Saccharopolyspora erythraea NRRL 2338,"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora",,MIBIG
BGC0000056.1,BGC0000056.1,"Actinomadura verrucosospora strain ATCC 39334 esperamicin enediyne iterative type I polyketide synthase gene locus, partial sequence",T1PKS,PKSI,Actinomadura verrucosospora,"Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura",,MIBIG
BGC0000057.1,BGC0000057.1,"Aspergillus nidulans FGSC A4 chromosome II ANcontig1.135, whole genome shotgun sequence",T1PKS,PKSI,Aspergillus nidulans FGSC A4,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus",,MIBIG
BGC0000058.1,BGC0000058.1,"Streptomyces graminofaciens DNA, FD-891 producer gene cluster",T1PKS,PKSI,Streptomyces graminofaciens,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000059.1,BGC0000059.1,"Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome",T1PKS,PKSI,Streptomyces avermitilis MA-4680 = NBRC 14893,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000060.1,BGC0000060.1,"Streptomyces pulveraceus strain ATCC 31906 fostriecin biosynthetic gene cluster, complete sequence",T1PKS,PKSI,Streptomyces pulveraceus,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000061.1,BGC0000061.1,"Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence",NRPS-like.T1PKS,PKS-NRP_Hybrids,Streptomyces sp. FR-008,"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces",,MIBIG
BGC0000062.1,BGC0000062.1,"Gibberella moniliformis fumonisin biosynthetic gene cluster, complete sequence",T1PKS.NRPS,PKS-NRP_Hybrids,Fusarium verticillioides,"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex",,MIBIG
