assembly_level,checkm_completeness,checkm_contamination,genome_size,ncbi_bioproject,mimag_quality,source,genome_id,gtdb_taxonomy,total_bgcs,bgcs_on_contig_edge
Contig/Scaffold,91.72,1.29,4018871,PRJNA629478,HQ,genbank,GCA_016699535.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__;g__;s__,8,0
Contig/Scaffold,93.2,2.62,6380020,PRJNA629478,HQ,genbank,GCA_016713665.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA4427;g__;s__,6,0
Contig/Scaffold,93.39,3.89,7333651,PRJNA629478,HQ,genbank,GCA_016713425.1,d__Bacteria;p__Myxococcota;c__WYAZ01;o__WYAZ01;f__WYAZ01;g__;s__,6,0
Contig/Scaffold,92.83,3.23,5791314,PRJNA629478,HQ,genbank,GCA_016712745.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__;g__;s__,7,0
Contig/Scaffold,93.72,4.24,8760767,PRJNA629478,HQ,genbank,GCA_016712525.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JAAFHV01;s__,11,0
Contig/Scaffold,93.71,1.15,9656484,PRJNA629478,HQ,genbank,GCA_016712475.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__,19,1
Contig/Scaffold,94.52,3.23,8579269,PRJNA629478,HQ,genbank,GCA_016712315.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__;s__,18,0
Contig/Scaffold,93.87,2.79,11504612,PRJNA629478,HQ,genbank,GCA_016712345.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__CAIVJW01;s__,20,0
Contig/Scaffold,96.56,3.41,7898815,PRJNA629478,HQ,genbank,GCA_016711615.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,10,2
Contig/Scaffold,93.74,1.96,4220125,PRJNA629478,HQ,genbank,GCA_016711215.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__GCA-2747355;f__GCA-2747355;g__;s__,11,0
Contig/Scaffold,96.45,3.13,9510879,PRJNA629478,HQ,genbank,GCA_016717005.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,12,0
Contig/Scaffold,95.91,1.61,4567662,PRJNA629478,HQ,genbank,GCA_016716835.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,9,0
Contig/Scaffold,92.69,3.25,9405335,PRJNA629478,HQ,genbank,GCA_016716175.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__,7,1
Contig/Scaffold,94.19,4.15,11097727,PRJNA629478,HQ,genbank,GCA_016715885.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Polyangium;s__,18,1
Contig/Scaffold,90.81,3.92,9280845,PRJNA629478,HQ,genbank,GCA_016719945.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__CAITIQ01;s__,16,1
Contig/Scaffold,93.06,4.86,8651915,PRJNA629478,HQ,genbank,GCA_016719515.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__;g__;s__,21,5
Contig/Scaffold,91.64,2.84,8831761,PRJNA629478,HQ,genbank,GCA_016715675.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__SCUS01;s__SCUS01 sp004297725,13,1
Contig/Scaffold,90.3,1.13,9210202,PRJNA629478,HQ,genbank,GCA_016715415.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__,18,0
Contig/Scaffold,90.75,3.41,7648730,PRJNA629478,HQ,genbank,GCA_016714965.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,10,5
Contig/Scaffold,98.71,0.32,5216902,PRJNA629478,HQ,genbank,GCA_016718565.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__,10,2
Contig/Scaffold,91.45,2.58,7159636,PRJNA629478,HQ,genbank,GCA_016717595.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__;g__;s__,18,7
Contig/Scaffold,92.9,4.87,8340076,PRJNA629478,HQ,genbank,GCA_016717175.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__,17,0
Contig/Scaffold,96.88,3.39,10125364,PRJNA629478,HQ,genbank,GCA_016720595.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__JABFXX01;s__,10,4
Contig/Scaffold,90.12,2.74,7433625,PRJNA629478,HQ,genbank,GCA_016720545.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JAAFHV01;s__,8,1
Contig/Scaffold,98.06,3.87,5111239,PRJNA629478,HQ,genbank,GCA_016720265.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__,9,0
Contig/Scaffold,NA,2.99,9697468,PRJNA301005,MQ,genbank,GCA_001465015.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__Ga0077539;s__Ga0077539 sp001465015,12,8
Contig/Scaffold,NA,0.67,2315875,PRJNA348753,MQ,genbank,GCA_002450755.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__UBA6930;s__UBA6930 sp002450755,1,1
Contig/Scaffold,NA,2.91,7541783,PRJNA391943,MQ,genbank,GCA_002720945.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__GCA-2699025;s__GCA-2699025 sp002699025,16,9
Contig/Scaffold,NA,2.6,5970886,PRJNA386568,MQ,genbank,GCA_003155595.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003136095,13,12
Contig/Scaffold,NA,3.55,4899144,PRJNA386568,MQ,genbank,GCA_003159055.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003159055,9,9
Contig/Scaffold,NA,4.89,8036325,PRJNA376580,MQ,genbank,GCA_003243425.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Archangium_A;s__Archangium_A gephyra_A,14,3
Contig/Scaffold,NA,2.63,4711050,PRJNA531348,MQ,genbank,GCA_005777155.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__SXNM01;s__SXNM01 sp005777155,3,3
Contig/Scaffold,NA,4.86,9744579,PRJNA531348,MQ,genbank,GCA_005777485.1,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__GCA-2716585;g__SYOX01;s__SYOX01 sp005804885,7,5
Contig/Scaffold,NA,3.23,3859475,PRJNA449266,MQ,genbank,GCA_005879115.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__40CM-4-68-19 sp005879505,7,7
Contig/Scaffold,NA,3.35,5241508,PRJNA449266,MQ,genbank,GCA_005879355.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__40CM-4-68-19 sp001918155,6,3
Contig/Scaffold,NA,3.23,4599315,PRJNA453733,MQ,genbank,GCA_007120615.1,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__SKNI01;s__SKNI01 sp007120615,7,7
Contig/Scaffold,NA,1.16,2619275,PRJNA480137,MQ,genbank,GCA_011373655.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__DRWM01;f__DRWM01;g__DRWM01;s__DRWM01 sp011373655,3,3
Contig/Scaffold,NA,1.29,4306218,PRJNA598059,HQ,genbank,GCA_011526055.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA9160;g__CAADGG01;s__CAADGG01 sp900696485,4,3
Contig/Scaffold,NA,5.48,7284702,PRJNA598059,MQ,genbank,GCA_011526105.1,d__Bacteria;p__Myxococcota;c__WYAZ01;o__WYAZ01;f__WYAZ01;g__WYAZ01;s__WYAZ01 sp011526105,8,6
Contig/Scaffold,NA,3.87,5043745,PRJEB38681,MQ,genbank,GCA_903857665.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__DTJE01;f__DTJE01;g__CAIZWN01;s__CAIZWN01 sp903857665,5,4
Contig/Scaffold,NA,0.32,5391786,PRJEB38681,MQ,genbank,GCA_903864035.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__CAIWCD01;s__CAIWCD01 sp903911145,10,1
Contig/Scaffold,NA,1.29,5294039,PRJEB38681,MQ,genbank,GCA_903875165.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__CAJBNH01;s__CAJBNH01 sp903955385,2,1
Contig/Scaffold,NA,2.26,4771738,PRJEB38681,MQ,genbank,GCA_903894875.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__CAIOAK01;s__CAIOAK01 sp903874275,6,5
Contig/Scaffold,NA,2.9,3758547,PRJEB38681,MQ,genbank,GCA_903912275.1,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__REDH01;f__REDH01;g__CAIWGR01;s__CAIWGR01 sp903912275,1,1
Contig/Scaffold,NA,2.64,4568389,PRJEB38681,MQ,genbank,GCA_903932365.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__CAIOAK01;s__CAIOAK01 sp903904005,8,8
Contig/Scaffold,NA,1.64,4852893,PRJEB38681,HQ,genbank,GCA_903936705.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__DTJE01;f__DTJE01;g__CAIZWN01;s__CAIZWN01 sp903936705,6,6
Contig/Scaffold,NA,5.81,12537762,PRJNA224116,MQ,refseq,GCF_000733295.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Archangium;s__Archangium violaceum,54,29
Complete/Chromosome,NA,0.65,9316447,PRJNA224116,HQ,refseq,GCF_006402735.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus_A,24,0
Contig/Scaffold,NA,2.6,9150477,PRJNA224116,HQ,refseq,GCF_013116865.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus_B,26,16
Contig/Scaffold,NA,1.3,11453108,PRJNA224116,HQ,refseq,GCF_013336705.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus sp013336725,32,8
Contig/Scaffold,NA,1.3,9263967,PRJNA224116,HQ,refseq,GCF_900106535.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus,27,4
Contig/Scaffold,NA,0,2924532,PRJNA348753,MQ,genbank,GCA_002309695.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__UBA5297;g__UBA1203;s__UBA1203 sp002309695,3,0
Contig/Scaffold,NA,4.52,4881411,PRJNA391943,MQ,genbank,GCA_002687015.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__GCA-2687015;s__GCA-2687015 sp002687015,4,3
Contig/Scaffold,NA,6.7,4438399,PRJNA391943,MQ,genbank,GCA_002729515.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__SMWR01;g__GCA-2729515;s__GCA-2729515 sp002729515,3,1
Contig/Scaffold,NA,4.9,5997913,PRJNA386568,MQ,genbank,GCA_003155895.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003142855,7,6
Contig/Scaffold,NA,3.23,6504574,PRJNA386568,MQ,genbank,GCA_003158655.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003158455,12,10
Contig/Scaffold,NA,1.29,3224753,PRJNA417962,MQ,genbank,GCA_003509265.1,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA4151;f__UBA4151;g__UBA4151;s__UBA4151 sp002696345,3,3
Contig/Scaffold,NA,4.54,8660767,PRJNA272922,MQ,genbank,GCA_004193285.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__PMG-095;s__PMG-095 sp004193285,14,2
Contig/Scaffold,NA,0.32,3397562,PRJNA526329,HQ,genbank,GCA_004356455.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__SZUA-336;f__SZUA-336;g__SMWZ01;s__SMWZ01 sp004356455,1,1
Contig/Scaffold,NA,1.85,3974964,PRJNA531348,MQ,genbank,GCA_005800745.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__SXOB01;s__SXOB01 sp005776945,13,9
Contig/Scaffold,NA,3.51,6357661,PRJNA531348,MQ,genbank,GCA_005804125.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__SXON01;s__SXON01 sp005778355,4,3
Contig/Scaffold,NA,2.15,5519926,PRJNA453733,MQ,genbank,GCA_007120035.1,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__SKON01;s__SKON01 sp007120035,8,7
Contig/Scaffold,NA,2.93,5643756,PRJNA453733,MQ,genbank,GCA_007133195.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__SLNH01;s__SLNH01 sp007133195,8,5
Contig/Scaffold,NA,3.23,4128656,PRJNA521725,MQ,genbank,GCA_009692485.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__SYFR01;s__SYFR01 sp009692485,6,4
Contig/Scaffold,NA,0.65,2114785,PRJNA560329,MQ,genbank,GCA_009786315.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__WRKR01;s__WRKR01 sp009786315,3,3
Contig/Scaffold,NA,2.33,3283414,PRJNA602310,MQ,genbank,GCA_012514415.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__JAAYBZ01;s__JAAYBZ01 sp012514415,4,4
Contig/Scaffold,NA,0.97,4464492,PRJNA522654,MQ,genbank,GCA_012959805.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;s__UBA4427 sp012959805,2,1
Contig/Scaffold,NA,0.32,2024756,PRJEB33281,MQ,genbank,GCA_902574205.1,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA4151;f__UBA4151;g__CACGMS01;s__CACGMS01 sp902574205,2,2
Contig/Scaffold,NA,4.2,5983448,PRJEB38681,MQ,genbank,GCA_903820515.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__SXON01;s__SXON01 sp903885375,8,7
Contig/Scaffold,NA,1.94,8680950,PRJEB38681,MQ,genbank,GCA_903861945.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Archangium_A;s__Archangium_A sp903905455,15,5
Contig/Scaffold,NA,2.62,7975035,PRJEB38681,MQ,genbank,GCA_903864985.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__CAIUMM01;s__CAIUMM01 sp903844155,15,8
Contig/Scaffold,NA,2.42,7049550,PRJEB38681,MQ,genbank,GCA_903893645.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__CAIXZC01;f__CAITUV01;g__CAITUV01;s__CAITUV01 sp903895725,4,1
Contig/Scaffold,NA,2.42,7083390,PRJEB38681,MQ,genbank,GCA_903895425.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__CAIXZC01;f__CAITUV01;g__CAITUV01;s__CAITUV01 sp903895725,4,1
Contig/Scaffold,NA,2.42,7058557,PRJEB38681,MQ,genbank,GCA_903895725.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__CAIXZC01;f__CAITUV01;g__CAITUV01;s__CAITUV01 sp903895725,4,1
Contig/Scaffold,NA,4.2,6030296,PRJEB38681,MQ,genbank,GCA_903902615.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__SXON01;s__SXON01 sp903885375,8,7
Contig/Scaffold,NA,3.71,10587646,PRJNA224116,HQ,refseq,GCF_000170895.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Plesiocystis;s__Plesiocystis pacifica,28,9
Contig/Scaffold,NA,5.83,11577721,PRJNA224116,MQ,refseq,GCF_000601485.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Chondromyces;s__Chondromyces apiculatus,41,19
Contig/Scaffold,NA,3.25,11186183,PRJNA224116,HQ,refseq,GCF_000737315.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Hyalangium;s__Hyalangium minutum,34,2
Complete/Chromosome,NA,5.97,11388132,PRJNA224116,MQ,refseq,GCF_001189295.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Chondromyces;s__Chondromyces crocatus,35,0
Contig/Scaffold,NA,2.4,10793792,PRJNA224116,HQ,refseq,GCF_003611695.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus carmarthensis,47,38
Complete/Chromosome,NA,1.3,8952969,PRJNA224116,HQ,refseq,GCF_006401635.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus,25,0
Contig/Scaffold,NA,0.65,10784496,PRJNA224116,HQ,refseq,GCF_007991095.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus fulvus,47,18
Contig/Scaffold,NA,0.37,9895138,PRJNA224116,HQ,refseq,GCF_013116615.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus exercitus,54,52
Contig/Scaffold,NA,3.25,10443230,PRJNA224116,HQ,refseq,GCF_013155175.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus exiguus,48,45
Contig/Scaffold,NA,0.67,5987311,PRJDB895,LQ,genbank,GCA_001312805.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Byssovorax;s__Byssovorax cruenta,9,9
Contig/Scaffold,NA,2.28,10242556,PRJNA301005,MQ,genbank,GCA_001464385.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__Ga0077550 sp001464385,26,17
Contig/Scaffold,NA,7.42,5579410,PRJNA348753,MQ,genbank,GCA_002323315.1,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__UBA7976;f__UBA1532;g__UBA1532;s__UBA1532 sp002731825,6,5
Contig/Scaffold,NA,3.36,3740887,PRJNA348753,MQ,genbank,GCA_002425355.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__UBA796;s__UBA796 sp002296975,4,4
Contig/Scaffold,NA,4.44,9253999,PRJNA391943,MQ,genbank,GCA_002699025.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__GCA-2699025;s__GCA-2699025 sp002699025,16,10
Contig/Scaffold,NA,2.26,4312764,PRJNA515295,MQ,genbank,GCA_004283055.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__SG8-38 sp004283055,4,2
Contig/Scaffold,NA,1.75,4889566,PRJNA531348,MQ,genbank,GCA_005772945.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__PHBI01;f__PHBI01;g__SXIE01;s__SXIE01 sp005772945,4,4
Contig/Scaffold,NA,3.51,7370352,PRJNA531348,MQ,genbank,GCA_005776725.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__GCA-2863065;f__GCA-2863065;g__SXOO01;s__SXOO01 sp005776725,10,8
Contig/Scaffold,NA,1.75,6604529,PRJNA531348,MQ,genbank,GCA_005778355.1,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__SXON01;s__SXON01 sp005778355,5,3
Contig/Scaffold,NA,0.65,9051712,PRJNA529425,HQ,genbank,GCA_006519755.1,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus sp010998615,23,14
Contig/Scaffold,NA,4.22,5978230,PRJNA453733,MQ,genbank,GCA_007131745.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__HGW-17;f__SLPX01;g__SLPX01;s__SLPX01 sp007131745,4,3
Contig/Scaffold,NA,1.94,4971832,PRJNA377096,MQ,genbank,GCA_007693585.1,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__REDH01;f__REDH01;g__REDH01;s__REDH01 sp007693585,4,3
Contig/Scaffold,NA,7.63,4399299,PRJNA480137,MQ,genbank,GCA_011051925.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;s__UBA4427 sp011051925,5,4
Contig/Scaffold,NA,1.94,4574723,PRJNA480137,MQ,genbank,GCA_011055735.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__DSOP01;s__DSOP01 sp011055735,6,0
Contig/Scaffold,NA,5.56,5772837,PRJNA602310,MQ,genbank,GCA_012514535.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__NIC37A-2;s__NIC37A-2 sp012514535,10,9
Contig/Scaffold,NA,3.71,5305326,PRJNA602310,MQ,genbank,GCA_012797735.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__DRWM01;f__JAAZOP01;g__JAAZOP01;s__JAAZOP01 sp012797735,5,4
Contig/Scaffold,NA,1.94,4376582,PRJNA609151,HQ,genbank,GCA_013001375.1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__SG8-38 sp004283055,5,5
Contig/Scaffold,NA,1.29,3081147,PRJNA557557,MQ,genbank,GCA_013151875.1,d__Bacteria;p__Myxococcota;c__UBA9042;o__DTJE01;f__DTJE01;g__JADDHL01;s__JADDHL01 sp013151875,7,7
