genome_id,original_genome_id,source,organism,genus,species,strain,closest_placement_reference,Taxonomy,Genome size (bp),%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,classification
AV5,Verrucomicrobia_AV5,custom,,,,,,Verrucomicrobia,5899704.0,58.59,91.19,3.19,High,Angelo,2014.0,Meadow grassland,14_0919_12_20cm,20.0,10.0,7.0,8.0,2.0,10.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__AV2;g__AV2;s__AV2 sp003219345
ANG_46,Actinobacteria_ANG_46,custom,,,,,,Actinobacteria,4887143.0,68.98,97.44,0.85,High,Rivendell,2015.0,Douglas fir,15con2h2_4A,120.0,15.0,7.0,7.0,2.0,9.0,deep,neither,,d__Bacteria;p__Actinobacteriota;c__UBA4738;o__;f__;g__;s__
ANG_48,Actinobacteria_ANG_48,custom,,,,,,Actinobacteria,5645466.0,70.4,96.58,0.85,High,Sagehorn,2016.0,Garry oak,Sage2_R_60_16,60.0,12.0,9.0,6.0,2.0,8.0,neither,neither,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
ANG_53,Verrucomicrobia_ANG_53,custom,,,,,,Verrucomicrobia,5729913.0,60.97,98.99,2.7,High,Sagehorn,2016.0,Garry oak,Sage2_R_60_16,60.0,9.0,9.0,5.0,3.0,8.0,deep,tree,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__SIBH01;g__;s__
gp1_AA128,Acidobacteria_gp1_AA128,custom,,,,,,Acidobacteria,7964278.0,56.57,98.84,4.27,High,Angelo,2014.0,Meadow grassland,14_0903_13_30cm,30.0,10.0,8.0,6.0,2.0,8.0,neither,tree,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003225005
ANG_51,Micromonosporales_ANG_51,custom,,,,,,Actinobacteria,5548083.0,70.23,99.14,2.94,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,9.0,8.0,8.0,0.0,8.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__WHSM01;s__
ANG_52,Deltaproteobacteria_ANG_52,custom,,,,,,Deltaproteobacteria,7059152.0,54.77,96.59,3.23,High,Angelo,2014.0,Meadow grassland,14_1009_09_40cm,40.0,9.0,2.0,8.0,0.0,8.0,neither,neither,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-1;s__DP-1 sp005879605
ANG_59,Acidobacteria_ANG_59,custom,,,,,,Acidobacteria,4667149.0,56.14,93.16,3.85,High,Sagehorn,2016.0,Garry oak,Sage2_L_60_16,60.0,5.0,5.0,7.0,0.0,7.0,deep,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Gp1-AA145;s__
ANG_57,Deltaproteobacteria_ANG_57,custom,,,,,,Deltaproteobacteria,5911234.0,54.83,96.27,3.23,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_20_16,20.0,7.0,5.0,7.0,0.0,7.0,neither,grassland,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-1;s__DP-1 sp005879605
ANG_62,Actinobacteria_ANG_62,custom,,,,,,Actinobacteria,5187362.0,72.44,94.87,0.0,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,13.0,13.0,5.0,1.0,6.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
ANG_64,Verrucomicrobia_ANG_64,custom,,,,,,Verrucomicrobia,7571163.0,53.53,92.55,4.32,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,11.0,8.0,3.0,3.0,6.0,shallow,tree,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__
ANG_63,Chloroflexi_ANG_63,custom,,,,,,Chloroflexi,9522329.0,53.88,93.4,3.96,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_60_16,60.0,11.0,7.0,5.0,1.0,6.0,neither,grassland,,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__JACDAE01;s__
3845_53_8,14_1009_02_40cm_Chloroflexi_3845_53_8,custom,,,,,,Chloroflexi,6718311.0,53.29,95.71,3.96,High,Angelo,2014.0,Meadow grassland,14_1009_02_40cm,40.0,7.0,6.0,2.0,4.0,6.0,deep,grassland,"Diamond et al., 2019",d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__UBA11361;s__UBA11361 sp005881495
ANG_77,Acidobacteria_ANG_77,custom,,,,,,Acidobacteria,6079185.0,55.72,94.87,3.42,High,Sagehorn,2016.0,Garry oak,Sage2_L_80_16,80.0,7.0,7.0,4.0,1.0,5.0,neither,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__
ANG_72,Acidobacteria_ANG_72,custom,,,,,,Acidobacteria,7254494.0,53.74,93.11,4.27,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,9.0,6.0,4.0,1.0,5.0,neither,grassland,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__JACDCK01;s__
630_68_11,14_0903_09_20cm_Proteobacteria_630_68_11,custom,,,,,,Gammaproteobacteria,3950681.0,67.93,95.28,4.02,High,Angelo,2014.0,Meadow grassland,14_0903_09_20cm,20.0,6.0,6.0,0.0,5.0,5.0,shallow,neither,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp001914695
ANG_75,Actinobacteria_ANG_75,custom,,,,,,Actinobacteria,6639659.0,71.11,97.91,4.7,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,8.0,4.0,0.0,5.0,5.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
2798_72_12,14_0929_02_40cm_Bacteria_2798_72_12,custom,,,,,,Deltaproteobacteria,4171096.0,71.84,91.4,4.19,High,Angelo,2014.0,Meadow grassland,14_0929_02_40cm,40.0,5.0,4.0,0.0,5.0,5.0,neither,neither,"Diamond et al., 2019",d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UTPRO1;f__DP-6;g__DP-6;s__DP-6 sp005879795
ANG_88,Deltaproteobacteria_ANG_88,custom,,,,,,Deltaproteobacteria,5163928.0,68.54,96.77,4.22,High,Rivendell,2015.0,Douglas fir,15con2h3_4B,120.0,11.0,10.0,0.0,4.0,4.0,deep,neither,,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__
ANG_86,Actinobacteria_ANG_86,custom,,,,,,Actinobacteria,6945857.0,71.39,92.74,0.85,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,15.0,8.0,2.0,2.0,4.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
ANG_94,Micromonosporales_ANG_94,custom,,,,,,Actinobacteria,4816617.0,71.0,95.0,2.03,High,Sagehorn,2016.0,Garry oak,Sage2_R_100_16,100.0,8.0,8.0,0.0,4.0,4.0,deep,tree,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__AC-43;s__
ANG_96,Acidobacteria_ANG_96,custom,,,,,,Acidobacteria,5179798.0,56.44,98.08,0.0,High,Sagehorn,2016.0,Garry oak,Sage2_R_80_16,80.0,7.0,7.0,0.0,4.0,4.0,neither,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
ANG_93,Acidobacteria_ANG_93,custom,,,,,,Acidobacteria,6389470.0,57.53,96.55,0.9,High,Angelo,2014.0,Meadow grassland,14_1009_12_20cm,20.0,8.0,6.0,3.0,1.0,4.0,neither,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Gp1-AA133;s__Gp1-AA133 sp003225465
ANG_91,Betaproteobacteria_ANG_91,custom,,,,,,Betaproteobacteria,5704795.0,66.31,99.05,2.39,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,9.0,6.0,2.0,2.0,4.0,neither,grassland,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__;s__
AV71,Verrucomicrobia_AV71,custom,,,,,,Verrucomicrobia,3165771.0,54.69,91.33,2.97,High,Angelo,2014.0,Meadow grassland,14_0903_13_30cm,30.0,4.0,4.0,2.0,2.0,4.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003218475
ANG_118,Verrucomicrobia_ANG_118,custom,,,,,,Verrucomicrobia,3818873.0,54.66,91.55,2.7,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_60_16,60.0,4.0,4.0,1.0,3.0,4.0,shallow,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__
ANG_125,Burkholderiales_ANG_125,custom,,,,,,Betaproteobacteria,2453784.0,66.57,98.15,0.62,High,Rivendell,2016.0,Madrone,Mad1_20_16,20.0,2.0,3.0,2.0,2.0,4.0,shallow,tree,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__VBCK01;s__VBCK01 sp005882215
10098_55_8,14_1009_16_40cm_Deltaproteobacteria_10098_55_8,custom,,,,,,Deltaproteobacteria,9030429.0,54.66,96.43,4.52,High,Angelo,2014.0,Meadow grassland,14_1009_16_40cm,40.0,6.0,3.0,4.0,0.0,4.0,neither,grassland,"Diamond et al., 2019",d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__DP-20 sp005879255
ANG_114,Gammaproteobacteria_ANG_114,custom,,,,,,Gammaproteobacteria,3367722.0,66.3,93.29,2.47,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,4.0,3.0,3.0,1.0,4.0,neither,neither,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__
ANG_122,Gemmatimonadetes_ANG_122,custom,,,,,,Gemmatimonadetes,2469377.0,70.71,90.11,4.4,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_100_16,100.0,3.0,2.0,0.0,4.0,4.0,neither,grassland,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__
ANG_123,Gemmatimonadetes_ANG_123,custom,,,,,,Gemmatimonadetes,3453965.0,68.43,97.8,4.52,High,Angelo,2014.0,Meadow grassland,14_0903_12_20cm,20.0,3.0,1.0,4.0,0.0,4.0,neither,tree,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__AG41;s__
ANG_121,Deltaproteobacteria_ANG_121,custom,,,,,,Deltaproteobacteria,4130293.0,54.98,93.53,2.58,High,Rivendell,2015.0,Douglas fir,15con2h3_8,200.0,3.0,0.0,4.0,0.0,4.0,deep,grassland,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-36;s__
gp1_AA114,Acidobacteria_gp1_AA114,custom,,,,,,Acidobacteria,5828300.0,54.23,98.29,2.14,High,Angelo,2014.0,Meadow grassland,14_0929_05_20cm,20.0,8.0,8.0,2.0,1.0,3.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__Gp1-AA112;s__Gp1-AA112 sp003225175
ANG_134,Acidobacteria_ANG_134,custom,,,,,,Acidobacteria,5343060.0,57.03,92.17,4.43,High,Rivendell,2016.0,Madrone,Mad1_100_16,100.0,8.0,7.0,3.0,0.0,3.0,neither,tree,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__
ANG_143,Deltaproteobacteria_ANG_143,custom,,,,,,Deltaproteobacteria,5427999.0,69.31,96.13,2.9,High,Rivendell,2015.0,Douglas fir,15con2h1_4B,120.0,7.0,7.0,0.0,3.0,3.0,deep,neither,,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__
ANG_159,Rokubacteria_ANG_159,custom,,,,,,Rokubacteria,4558128.0,67.51,90.09,4.42,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,6.0,6.0,0.0,3.0,3.0,neither,grassland,,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__
gp2_AA80,Acidobacteria_gp2_AA80,custom,,,,,,Acidobacteria,4623513.0,60.74,93.16,2.14,High,Angelo,2014.0,Meadow grassland,14_0903_12_30cm,30.0,7.0,5.0,0.0,3.0,3.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__QHYU01;s__QHYU01 sp003224235
ANG_161,Acidobacteria_ANG_161,custom,,,,,,Acidobacteria,4185721.0,53.86,96.58,4.27,High,Rivendell,2016.0,Madrone,Mad1_80_16,80.0,5.0,5.0,3.0,0.0,3.0,deep,grassland,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11741;s__
ANG_162,Acidobacteria_ANG_162,custom,,,,,,Acidobacteria,5088713.0,55.32,97.44,2.14,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_40_16,40.0,5.0,5.0,3.0,0.0,3.0,neither,grassland,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
ANG_154,Alphaproteobacteria_ANG_154,custom,,,,,,Alphaproteobacteria,7239773.0,65.27,93.54,3.25,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_113_16,115.0,6.0,5.0,0.0,3.0,3.0,neither,grassland,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__
AV114,Verrucomicrobia_AV114,custom,,,,,,Verrucomicrobia,3080349.0,55.27,90.2,3.04,High,Angelo,2014.0,Meadow grassland,14_0919_09_20cm,20.0,5.0,5.0,0.0,3.0,3.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV69;s__AV69 sp003221295
