genome_id,source,organism,genus,species,strain,closest_placement_reference,Genome,Phylum,# of Contigs,Length (bp),CheckM Completeness %,CheckM Contamination %,ncbi_mapping,Level,WGS,BioSample,Isolate,Taxonomy,bgcflow_project_name,Assigned Taxonomy,created_on,attributes,name,material,location,viewable,sequences,library,feature,basepairs,sequencing_method,country,sample,sequence_type,biome,coordinates,contig count,Genome size (bp),ctg_N50,ctg_L50,ctg_N90,ctg_L90,ctg_max,gc_avg,gc_std,CDS,Completeness (%),Contamination (%),Relative abundance (%),5S-full,5S-partial,16S-full,16S-partial,23S-full,23S-partial,Circular,Taxa (GTDB),original_genome_id,%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,Chrs
GCA_003225255.1,ncbi,,,,,,Acidobacteria_gp2_AA107,Acidobacteria,433.0,7367770.0,90.81,1.71,gp2 AA107,Scaffold,QHYW00000000,SAMN08912192,gp2 AA107,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224235.1,ncbi,,,,,,Acidobacteria_gp2_AA80,Acidobacteria,222.0,4623513.0,93.16,2.14,gp2 AA80,Scaffold,QHYU00000000,SAMN08912165,gp2 AA80,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223325.1,ncbi,,,,,,Acidobacteria_gp2_AA82,Acidobacteria,362.0,6168009.0,94.44,4.27,gp2 AA82,Scaffold,QHYS00000000,SAMN08912167,gp2 AA82,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223295.1,ncbi,,,,,,Acidobacteria_gp2_AA88,Acidobacteria,463.0,6119419.0,91.88,4.27,gp2 AA88,Scaffold,QHYM00000000,SAMN08912173,gp2 AA88,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224085.1,ncbi,,,,,,Acidobacteria_gp2_AA90,Acidobacteria,157.0,6817407.0,93.73,3.49,gp2 AA90,Scaffold,QHYK00000000,SAMN08912175,gp2 AA90,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223255.1,ncbi,,,,,,Acidobacteria_gp2_AA91,Acidobacteria,422.0,6728016.0,94.63,1.71,gp2 AA91,Scaffold,QHYJ00000000,SAMN08912176,gp2 AA91,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223245.1,ncbi,,,,,,Acidobacteria_gp2_AA92,Acidobacteria,224.0,6362349.0,95.73,2.56,gp2 AA92,Scaffold,QHYI00000000,SAMN08912177,gp2 AA92,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223215.1,ncbi,,,,,,Acidobacteria_gp2_AA93,Acidobacteria,270.0,8872263.0,94.87,3.85,gp2 AA93,Scaffold,QHYH00000000,SAMN08912178,gp2 AA93,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223225.1,ncbi,,,,,,Acidobacteria_gp2_AA94,Acidobacteria,761.0,7916167.0,92.85,2.18,gp2 AA94,Scaffold,QHYG00000000,SAMN08912179,gp2 AA94,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224055.1,ncbi,,,,,,Acidobacteria_gp2_AA96,Acidobacteria,135.0,4528585.0,91.14,2.8,gp2 AA96,Scaffold,QHYE00000000,SAMN08912181,gp2 AA96,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003224025.1,ncbi,,,,,,Acidobacteria_gp2_AA99,Acidobacteria,353.0,5050301.0,93.16,4.27,gp2 AA99,Scaffold,QHYB00000000,SAMN08912184,gp2 AA99,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223115.1,ncbi,,,,,,Acidobacteria_gp3_AA109,Acidobacteria,562.0,9181584.0,97.37,2.19,gp3 AA109,Scaffold,QHXW00000000,SAMN08912194,gp3 AA109,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223065.1,ncbi,,,,,,Acidobacteria_gp3_AA111,Acidobacteria,525.0,6331374.0,90.07,0.0,gp3 AA111,Scaffold,QHXU00000000,SAMN08912196,gp3 AA111,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223025.1,ncbi,,,,,,Acidobacteria_gp4_AA15,Acidobacteria,32.0,4342350.0,97.44,2.61,gp4 AA15,Scaffold,QHXR00000000,SAMN08912100,gp4 AA15,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222945.1,ncbi,,,,,,Acidobacteria_gp4_AA20,Acidobacteria,324.0,4762992.0,93.59,4.33,gp4 AA20,Scaffold,QHXM00000000,SAMN08912105,gp4 AA20,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222895.1,ncbi,,,,,,Acidobacteria_gp4_AA24,Acidobacteria,165.0,4805763.0,93.75,2.56,gp4 AA24,Scaffold,QHXI00000000,SAMN08912109,gp4 AA24,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222385.1,ncbi,,,,,,Acidobacteria_gp7_AA6,Acidobacteria,221.0,3678706.0,95.66,3.42,gp7 AA6,Scaffold,QHVV00000000,SAMN08912091,gp7 AA6,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223645.1,ncbi,,,,,,Acidobacteria_gp7_AA8,Acidobacteria,51.0,6382978.0,99.15,3.42,gp7 AA8,Scaffold,QHVT00000000,SAMN08912093,gp7 AA8,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223555.1,ncbi,,,,,,Acidobacteria_unk_AA32,Acidobacteria,147.0,5414709.0,91.36,4.27,AA32,Scaffold,QHVM00000000,SAMN08912117,AA32,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222275.1,ncbi,,,,,,Acidobacteria_unk_AA35,Acidobacteria,593.0,6888973.0,92.35,4.27,AA35,Scaffold,QHVJ00000000,SAMN08912120,AA35,Acidobacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223515.1,ncbi,,,,,,Angelobacter_gp1_AA117,Acidobacteria,206.0,6493111.0,99.79,3.47,gp1 AA117,Scaffold,QHVI00000000,SAMN08912202,gp1 AA117,Acidobacteriia bacterium AA117,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223455.1,ncbi,,,,,,Gemmatimonadetes_AG11,Gemmatimonadetes,125.0,4983587.0,93.41,2.2,AG11,Scaffold,QHVE00000000,SAMN08911868,AG11,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222205.1,ncbi,,,,,,Gemmatimonadetes_AG13,Gemmatimonadetes,208.0,2997750.0,95.6,3.95,AG13,Scaffold,QHVC00000000,SAMN08911870,AG13,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222195.1,ncbi,,,,,,Gemmatimonadetes_AG14,Gemmatimonadetes,94.0,3513433.0,98.35,2.2,AG14,Contig,QHVB00000000,SAMN08911871,AG14,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223395.1,ncbi,,,,,,Gemmatimonadetes_AG16,Gemmatimonadetes,122.0,3426061.0,98.35,1.2,AG16,Scaffold,QHUZ00000000,SAMN08911873,AG16,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003223415.1,ncbi,,,,,,Gemmatimonadetes_AG17,Gemmatimonadetes,272.0,3612243.0,97.7,1.1,AG17,Scaffold,QHUY00000000,SAMN08911874,AG17,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222055.1,ncbi,,,,,,Gemmatimonadetes_AG21,Gemmatimonadetes,171.0,3714046.0,94.32,3.3,AG21,Contig,QHUT00000000,SAMN08911878,AG21,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222035.1,ncbi,,,,,,Gemmatimonadetes_AG22,Gemmatimonadetes,128.0,3617576.0,95.64,3.3,AG22,Scaffold,QHUS00000000,SAMN08911879,AG22,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222115.1,ncbi,,,,,,Gemmatimonadetes_AG29,Gemmatimonadetes,99.0,3098416.0,96.7,1.1,AG29,Scaffold,QHUL00000000,SAMN08911886,AG29,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003222085.1,ncbi,,,,,,Gemmatimonadetes_AG3,Gemmatimonadetes,64.0,3535971.0,93.41,3.3,AG3,Contig,QHUK00000000,SAMN08911860,AG3,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221895.1,ncbi,,,,,,Gemmatimonadetes_AG30,Gemmatimonadetes,231.0,3772809.0,98.9,4.4,AG30,Scaffold,QHUJ00000000,SAMN08911887,AG30,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221075.1,ncbi,,,,,,Gemmatimonadetes_AG34,Gemmatimonadetes,395.0,3322098.0,90.41,4.4,AG34,Scaffold,QHUF00000000,SAMN08911891,AG34,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221035.1,ncbi,,,,,,Gemmatimonadetes_AG38,Gemmatimonadetes,103.0,3378283.0,98.25,2.2,AG38,Contig,QHUB00000000,SAMN08911895,AG38,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221805.1,ncbi,,,,,,Gemmatimonadetes_AG39,Gemmatimonadetes,240.0,3238148.0,90.01,2.3,AG39,Scaffold,QHUA00000000,SAMN08911896,AG39,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221005.1,ncbi,,,,,,Gemmatimonadetes_AG4,Gemmatimonadetes,138.0,2825227.0,93.71,1.1,AG4,Scaffold,QHTZ00000000,SAMN08911861,AG4,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221765.1,ncbi,,,,,,Gemmatimonadetes_AG44,Gemmatimonadetes,221.0,2996657.0,95.6,4.4,AG44,Scaffold,QHTU00000000,SAMN08911901,AG44,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221755.1,ncbi,,,,,,Gemmatimonadetes_AG5,Gemmatimonadetes,228.0,3112550.0,95.6,4.4,AG5,Scaffold,QHTO00000000,SAMN08911862,AG5,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003220805.1,ncbi,,,,,,Gemmatimonadetes_AG7,Gemmatimonadetes,134.0,3838238.0,96.7,4.95,AG7,Scaffold,QHTL00000000,SAMN08911864,AG7,Gemmatimonadetes bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003220495.1,ncbi,,,,,,Rokubacteria_AR28,Rokubacteria,157.0,6013750.0,91.03,4.38,AR28,Scaffold,QHSP00000000,SAMN08911934,AR28,Candidatus Rokubacteria bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221295.1,ncbi,,,,,,Verrucomicrobia_AV114,Verrucomicrobia,267.0,3080349.0,90.2,3.04,AV114,Scaffold,QHRA00000000,SAMN08912064,AV114,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003221255.1,ncbi,,,,,,Verrucomicrobia_AV117,Verrucomicrobia,256.0,2211425.0,90.19,2.03,AV117,Scaffold,QHQX00000000,SAMN08912067,AV117,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219895.1,ncbi,,,,,,Verrucomicrobia_AV121,Verrucomicrobia,199.0,2364279.0,90.37,3.41,AV121,Scaffold,QHQS00000000,SAMN08912071,AV121,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219835.1,ncbi,,,,,,Verrucomicrobia_AV132,Verrucomicrobia,267.0,2805560.0,96.62,2.7,AV132,Scaffold,QHQG00000000,SAMN08912082,AV132,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219215.1,ncbi,,,,,,Verrucomicrobia_AV18,Verrucomicrobia,191.0,2408314.0,90.81,2.36,AV18,Scaffold,QHPY00000000,SAMN08911968,AV18,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219195.1,ncbi,,,,,,Verrucomicrobia_AV19,Verrucomicrobia,177.0,2864703.0,95.41,2.6,AV19,Scaffold,QHPX00000000,SAMN08911969,AV19,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219545.1,ncbi,,,,,,Verrucomicrobia_AV32,Verrucomicrobia,82.0,2731459.0,99.19,4.05,AV32,Scaffold,QHPI00000000,SAMN08911982,AV32,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218975.1,ncbi,,,,,,Verrucomicrobia_AV37,Verrucomicrobia,159.0,3090450.0,97.3,3.15,AV37,Scaffold,QHPD00000000,SAMN08911987,AV37,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218885.1,ncbi,,,,,,Verrucomicrobia_AV44,Verrucomicrobia,211.0,2381129.0,90.8,3.72,AV44,Scaffold,QHOV00000000,SAMN08911994,AV44,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218875.1,ncbi,,,,,,Verrucomicrobia_AV45,Verrucomicrobia,205.0,3134697.0,97.3,4.05,AV45,Scaffold,QHOU00000000,SAMN08911995,AV45,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219415.1,ncbi,,,,,,Verrucomicrobia_AV47,Verrucomicrobia,239.0,3681659.0,96.45,3.83,AV47,Scaffold,QHOS00000000,SAMN08911997,AV47,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003219345.1,ncbi,,,,,,Verrucomicrobia_AV5,Verrucomicrobia,628.0,5899704.0,91.19,3.19,AV5,Scaffold,QHOP00000000,SAMN08911955,AV5,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218615.1,ncbi,,,,,,Verrucomicrobia_AV60,Verrucomicrobia,324.0,2412795.0,91.62,2.01,AV60,Scaffold,QHOD00000000,SAMN08912010,AV60,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218535.1,ncbi,,,,,,Verrucomicrobia_AV68,Verrucomicrobia,263.0,2751760.0,93.92,4.39,AV68,Scaffold,QHNV00000000,SAMN08912018,AV68,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218135.1,ncbi,,,,,,Verrucomicrobia_AV72,Verrucomicrobia,205.0,2816360.0,93.58,4.05,AV72,Contig,QHNQ00000000,SAMN08912022,AV72,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003217965.1,ncbi,,,,,,Verrucomicrobia_AV86,Verrucomicrobia,338.0,2779190.0,92.61,4.77,AV86,Scaffold,QHNB00000000,SAMN08912036,AV86,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218255.1,ncbi,,,,,,Verrucomicrobia_AV90,Verrucomicrobia,356.0,2939151.0,90.48,2.37,AV90,Scaffold,QHMW00000000,SAMN08912040,AV90,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003218235.1,ncbi,,,,,,Verrucomicrobia_AV92,Verrucomicrobia,327.0,2779005.0,95.95,1.57,AV92,Scaffold,QHMU00000000,SAMN08912042,AV92,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_003217895.1,ncbi,,,,,,Verrucomicrobia_AV94,Verrucomicrobia,322.0,2894051.0,94.93,4.39,AV94,Scaffold,QHMS00000000,SAMN08912044,AV94,Verrucomicrobia bacterium,Christoph_et_al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bin3c.33,custom,,,,,,,,,,,,,,,,,,Bickhart_et_al,d__Bacteria;p__Firmicutes;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp._CAG:413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bin3c.533,custom,,,,,,,,,,,,,,,,,,Bickhart_et_al,d__Bacteria;p__Firmicutes;o__Clostridiales;f__Clostridiales-undef;g__Clostridiales-undef;s__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
